faculty_id,faculty_name,department,rating,tag_boring,tag_chill,tag_engaging,tag_fast-paced,tag_good-notes,tag_helpful,tag_lenient-grading,tag_project-based,tag_strict,tag_theory-heavy,tag_tough-grader
101.0,Dr. Anand R.,SCOPE,4.3,0,1,0,0,1,0,0,1,0,0,0
102.0,Dr. Priya K.,SCOPE,4.8,0,0,0,0,0,0,0,0,1,1,1
103.0,Dr. Suresh M.,SELECT,3.9,0,0,0,0,0,1,0,0,1,0,0
104.0,Dr. Karthik S.,SCOPE,4.1,0,0,1,0,0,1,0,0,0,0,0
105.0,Dr. Meena L.,SENSE,4.6,0,0,0,0,1,1,0,0,0,0,0
106.0,Dr. Rajan P.,SCOPE,3.5,0,0,0,0,0,0,0,0,1,1,1
107.0,Dr. Geetha V.,SELECT,4.2,0,0,1,0,0,0,0,1,0,0,0
108.0,Dr. Kumar B.,SENSE,3.7,1,0,0,1,0,0,0,0,0,0,0
109.0,Dr. Divya S.,SCOPE,4.9,0,0,1,0,0,1,1,0,0,0,0
110.0,Dr. Balaji G.,SELECT,3.2,1,0,0,0,0,0,0,0,1,0,0
111.0,Dr. Lakshmi N.,SENSE,4.4,0,0,0,0,1,0,0,1,0,0,0
112.0,Dr. Mohan R.,SCOPE,4.1,0,1,0,0,0,0,1,0,0,0,0
113.0,Dr. Revathi P.,SELECT,3.6,0,0,0,1,0,0,0,0,0,1,0
114.0,Dr. Saravanan K.,SENSE,3.9,0,0,0,0,0,1,0,0,1,0,0
115.0,Dr. Usha M.,SCOPE,4.7,0,0,1,0,1,0,0,1,0,0,0
116.0,Dr. Venkatesh S.,SELECT,3.3,1,0,0,0,0,0,0,0,0,0,1
117.0,Dr. Vidya R.,SENSE,4.5,0,1,0,0,0,1,0,0,0,0,0
118.0,Dr. Krishnan V.,SCOPE,4.5,0,0,1,0,1,0,0,1,0,0,0
119.0,Dr. Malini S.,SELECT,3.8,0,0,0,1,0,0,0,0,0,1,0
120.0,Dr. Prabhu G.,SENSE,4.2,0,0,0,0,0,1,1,0,0,0,0
121.0,Dr. Aarav Singh,SCOPE,3.5,1,0,0,1,0,0,0,0,0,0,0
122.0,Dr. Aanya Sharma,SENSE,4.2,0,0,1,0,0,1,0,1,0,0,0
123.0,Dr. Vivaan Gupta,SELECT,3.1,0,0,0,0,0,0,0,0,1,0,1
124.0,Dr. Diya Patel,SCOPE,4.8,0,0,1,0,1,0,1,0,0,0,0
125.0,Dr. Aditya Kumar,SENSE,3.6,0,0,0,1,0,0,0,0,0,1,0
126.0,Dr. Ananya Reddy,SCOPE,4.5,0,0,0,0,0,1,0,1,0,0,0
127.0,Dr. Ishaan Rao,SELECT,3.4,1,0,0,0,0,0,0,0,1,0,0
128.0,Dr. Myra Nair,SCOPE,4.1,0,1,0,0,0,1,0,0,0,0,0
129.0,Dr. Arjun Menon,SENSE,3.8,0,0,0,1,0,0,0,0,1,0,0
130.0,Dr. Siya Iyer,SCOPE,4.6,0,0,1,0,1,0,0,0,0,0,0
131.0,Dr. Reyansh Pillai,SELECT,3.2,0,0,0,0,0,0,0,0,0,1,1
132.0,Dr. Kiara Varma,SCOPE,4.3,0,0,0,0,0,0,1,1,0,0,0
133.0,Dr. Vihaan Joshi,SENSE,3.7,1,0,0,0,0,0,0,0,1,0,0
134.0,Dr. Tara Mehta,SCOPE,4.7,0,0,0,0,1,1,0,0,0,0,0
135.0,Dr. Muhammad Ali,SELECT,3.5,0,0,0,1,0,0,0,0,0,0,1
136.0,Dr. Zoe Khan,SCOPE,4.2,0,1,0,0,0,0,0,1,0,0,0
137.0,Dr. Kabir Desai,SENSE,3.9,0,0,0,0,0,1,0,0,1,0,0
138.0,Dr. Anika Shah,SCOPE,4.5,0,0,1,0,0,0,1,0,0,0,0
139.0,Dr. Ayaan Verma,SELECT,3.3,1,0,0,0,0,0,0,0,0,1,0
140.0,Dr. Navya Jain,SCOPE,4.8,0,0,0,0,1,0,0,1,0,0,0
141.0,Dr. Krish Sharma,SENSE,3.6,0,0,0,1,0,0,0,0,1,0,0
142.0,Dr. Pari Gupta,SCOPE,4.3,0,1,0,0,0,1,0,0,0,0,0
143.0,Dr. Rohan Patel,SELECT,3.1,1,0,0,0,0,0,0,0,0,0,1
144.0,Dr. Aisha Kumar,SCOPE,4.6,0,0,1,0,1,0,0,0,0,0,0
145.0,Dr. Aryan Reddy,SENSE,3.8,0,0,0,0,0,0,0,0,1,1,0
146.0,Dr. Eva Rao,SCOPE,4.4,0,0,0,0,0,0,1,1,0,0,0
147.0,Dr. Advik Nair,SELECT,3.4,1,0,0,1,0,0,0,0,0,0,0
148.0,Dr. Anvi Menon,SCOPE,4.2,0,1,1,0,0,0,0,0,0,0,0
149.0,Dr. Veer Iyer,SENSE,3.7,0,0,0,0,0,0,0,0,1,0,1
150.0,Dr. Zara Pillai,SCOPE,4.7,0,0,0,0,1,1,0,1,0,0,0
151.0,Dr. Sai Varma,SELECT,3.5,1,0,0,0,0,0,0,0,0,1,0
152.0,Dr. Shanaya Joshi,SCOPE,4.1,0,1,0,0,0,0,1,0,0,0,0
153.0,Dr. Zayan Mehta,SENSE,3.9,0,0,0,1,0,0,0,0,1,0,0
154.0,Dr. Aadhya Ali,SCOPE,4.5,0,0,1,0,0,0,0,1,0,0,0
155.0,Dr. Dhruv Khan,SELECT,3.2,1,0,0,0,0,0,0,0,0,0,1
156.0,Dr. Ira Desai,SCOPE,4.6,0,0,0,0,1,1,0,0,0,0,0
157.0,Dr. Aarush Shah,SENSE,3.6,0,0,0,1,0,0,0,0,1,0,0
158.0,Dr. Riya Verma,SCOPE,4.3,0,1,0,0,0,0,0,1,0,0,0
159.0,Dr. Ishan Jain,SELECT,3.4,1,0,0,0,0,0,0,0,0,1,0
160.0,Dr. Nia Sharma,SCOPE,4.8,0,0,1,0,1,0,1,0,0,0,0
161.0,Dr. Om Gupta,SENSE,3.7,0,0,0,0,0,0,0,0,1,0,1
162.0,Dr. Anahita Patel,SCOPE,4.2,0,1,0,0,0,1,0,0,0,0,0
163.0,Dr. Yuvraj Kumar,SELECT,3.3,1,0,0,1,0,0,0,0,0,0,0
164.0,Dr. Samaira Reddy,SCOPE,4.5,0,0,1,0,0,0,0,1,0,0,0
165.0,Dr. Atharv Rao,SENSE,3.8,0,0,0,0,0,0,0,0,1,1,0
166.0,Dr. Alisha Nair,SCOPE,4.6,0,0,0,0,1,0,1,0,0,0,0
167.0,Dr. Shaurya Menon,SELECT,3.1,1,0,0,0,0,0,0,0,0,0,1
168.0,Dr. Amaira Iyer,SCOPE,4.4,0,1,0,0,0,1,0,1,0,0,0
169.0,Dr. Yuvaan Pillai,SENSE,3.5,0,0,0,1,0,0,0,0,0,1,0
170.0,Dr. Saanvi Varma,SCOPE,4.7,0,0,1,0,1,0,0,0,0,0,0
171.0,Dr. Armaan Joshi,SELECT,3.6,1,0,0,0,0,0,0,0,1,0,0
172.0,Dr. Keya Mehta,SCOPE,4.1,0,0,0,0,0,1,1,0,0,0,0
173.0,Dr. Vivaan Ali,SENSE,3.9,0,0,0,1,0,0,0,0,1,0,0
174.0,Dr. Aarya Khan,SCOPE,4.5,0,0,1,0,0,0,0,1,0,0,0
175.0,Dr. Abeer Desai,SELECT,3.2,0,0,0,0,0,0,0,0,0,1,1
176.0,Dr. Myra Shah,SCOPE,4.6,0,0,0,0,1,1,0,0,0,0,0
177.0,Dr. Neil Verma,SENSE,3.7,1,0,0,0,0,0,0,0,1,0,0
178.0,Dr. Pehel Jain,SCOPE,4.3,0,1,0,0,0,0,0,1,0,0,0
179.0,Dr. Ekansh Sharma,SELECT,3.4,0,0,0,1,0,0,0,0,0,0,1
180.0,Dr. Ananya Gupta,SCOPE,4.8,0,0,1,0,0,0,1,0,0,0,0
181.0,Dr. Ishaan Patel,SENSE,3.5,0,0,0,0,0,0,0,0,1,1,0
182.0,Dr. Siya Kumar,SCOPE,4.2,0,0,0,0,1,1,0,0,0,0,0
183.0,Dr. Reyansh Reddy,SELECT,3.1,1,0,0,0,0,0,0,0,0,0,1
184.0,Dr. Kiara Rao,SCOPE,4.5,0,0,1,0,0,0,0,1,0,0,0
185.0,Dr. Vihaan Nair,SENSE,3.8,0,0,0,1,0,0,0,0,1,0,0
186.0,Dr. Tara Menon,SCOPE,4.6,0,1,0,0,0,0,1,0,0,0,0
187.0,Dr. Muhammad Iyer,SELECT,3.3,1,0,0,0,0,0,0,0,0,1,0
188.0,Dr. Zoe Pillai,SCOPE,4.4,0,0,0,0,1,0,0,1,0,0,0
189.0,Dr. Kabir Varma,SENSE,3.6,0,0,0,0,0,0,0,0,1,0,1
190.0,Dr. Anika Joshi,SCOPE,4.7,0,0,1,0,0,1,0,0,0,0,0
191.0,Dr. Ayaan Mehta,SELECT,3.5,1,0,0,1,0,0,0,0,0,0,0
192.0,Dr. Navya Ali,SCOPE,4.1,0,1,0,0,0,0,1,0,0,0,0
193.0,Dr. Krish Khan,SENSE,3.9,0,0,0,0,0,0,0,0,1,1,0
194.0,Dr. Pari Desai,SCOPE,4.5,0,0,0,0,1,0,0,1,0,0,0
195.0,Dr. Rohan Shah,SELECT,3.2,1,0,0,0,0,0,0,0,0,0,1
196.0,Dr. Aisha Verma,SCOPE,4.6,0,0,1,0,0,1,0,0,0,0,0
197.0,Dr. Aryan Jain,SENSE,3.7,0,0,0,1,0,0,0,0,1,0,0
198.0,Dr. Eva Sharma,SCOPE,4.3,0,1,0,0,0,0,0,1,0,0,0
199.0,Dr. Advik Gupta,SELECT,3.4,1,0,0,0,0,0,0,0,0,1,0
200.0,Dr. Anvi Patel,SCOPE,4.8,0,0,1,0,1,0,1,0,0,0,0
201.0,Dr. Veer Kumar,SENSE,3.6,0,0,0,0,0,0,0,0,1,0,1
202.0,Dr. Zara Reddy,SCOPE,4.2,0,1,0,0,0,1,0,0,0,0,0
203.0,Dr. Sai Rao,SELECT,3.3,1,0,0,1,0,0,0,0,0,0,0
204.0,Dr. Shanaya Nair,SCOPE,4.5,0,0,1,0,0,0,0,1,0,0,0
205.0,Dr. Zayan Menon,SENSE,3.8,0,0,0,0,0,0,0,0,1,1,0
206.0,Dr. Aadhya Iyer,SCOPE,4.6,0,0,0,0,1,0,1,0,0,0,0
207.0,Dr. Dhruv Pillai,SELECT,3.1,1,0,0,0,0,0,0,0,0,0,1
208.0,Dr. Ira Varma,SCOPE,4.4,0,1,0,0,0,1,0,1,0,0,0
209.0,Dr. Aarush Joshi,SENSE,3.5,0,0,0,1,0,0,0,0,0,1,0
210.0,Dr. Riya Mehta,SCOPE,4.7,0,0,1,0,1,0,0,0,0,0,0
211.0,Dr. Ishan Ali,SELECT,3.6,1,0,0,0,0,0,0,0,1,0,0
212.0,Dr. Nia Khan,SCOPE,4.1,0,0,0,0,0,1,1,0,0,0,0
213.0,Dr. Om Desai,SENSE,3.9,0,0,0,1,0,0,0,0,1,0,0
214.0,Dr. Anahita Shah,SCOPE,4.5,0,0,1,0,0,0,0,1,0,0,0
215.0,Dr. Yuvraj Verma,SELECT,3.2,0,0,0,0,0,0,0,0,0,1,1
216.0,Dr. Samaira Jain,SCOPE,4.6,0,0,0,0,1,1,0,0,0,0,0
217.0,Dr. Atharv Sharma,SENSE,3.7,1,0,0,0,0,0,0,0,1,0,0
218.0,Dr. Alisha Gupta,SCOPE,4.3,0,1,0,0,0,0,0,1,0,0,0
219.0,Dr. Shaurya Patel,SELECT,3.4,0,0,0,1,0,0,0,0,0,0,1
220.0,Dr. Amaira Kumar,SCOPE,4.8,0,0,1,0,0,0,1,0,0,0,0
221.0,Dr. Yuvaan Reddy,SENSE,3.5,0,0,0,0,0,0,0,0,1,1,0
222.0,Dr. Saanvi Rao,SCOPE,4.2,0,0,0,0,1,1,0,0,0,0,0
223.0,Dr. Armaan Nair,SELECT,3.1,1,0,0,0,0,0,0,0,0,0,1
224.0,Dr. Keya Menon,SCOPE,4.5,0,0,1,0,0,0,0,1,0,0,0
225.0,Dr. Vivaan Iyer,SENSE,3.8,0,0,0,1,0,0,0,0,1,0,0
226.0,Dr. Aarya Pillai,SCOPE,4.6,0,1,0,0,0,0,1,0,0,0,0
227.0,Dr. Abeer Varma,SELECT,3.3,1,0,0,0,0,0,0,0,0,1,0
228.0,Dr. Myra Joshi,SCOPE,4.4,0,0,0,0,1,0,0,1,0,0,0
229.0,Dr. Neil Mehta,SENSE,3.6,0,0,0,0,0,0,0,0,1,0,1
230.0,Dr. Pehel Ali,SCOPE,4.7,0,0,1,0,0,1,0,0,0,0,0
231.0,Dr. Ekansh Khan,SELECT,3.5,1,0,0,1,0,0,0,0,0,0,0
232.0,Dr. Ananya Desai,SCOPE,4.1,0,1,0,0,0,0,1,0,0,0,0
233.0,Dr. Ishaan Shah,SENSE,3.9,0,0,0,0,0,0,0,0,1,1,0
234.0,Dr. Siya Verma,SCOPE,4.5,0,0,0,0,1,0,0,1,0,0,0
235.0,Dr. Reyansh Jain,SELECT,3.2,1,0,0,0,0,0,0,0,0,0,1
236.0,Dr. Kiara Sharma,SCOPE,4.6,0,0,1,0,0,1,0,0,0,0,0
237.0,Dr. Vihaan Gupta,SENSE,3.7,0,0,0,1,0,0,0,0,1,0,0
238.0,Dr. Tara Patel,SCOPE,4.3,0,1,0,0,0,0,0,1,0,0,0
239.0,Dr. Muhammad Kumar,SELECT,3.4,1,0,0,0,0,0,0,0,0,1,0
